Name,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
231 VINDOBONA,9.2,0.15,73.822024,268.58091,351.03782,5.099296,0.1565665,2.9200827,48800
232 RUSSIA,10.25,0.15,247.27319,49.829465,152.84438,6.083012,0.1794103,2.548928,48800
233 ASTEROPE,8.21,0.15,299.13528,125.39733,222.43134,7.668377,0.1016471,2.6593089,48800
234 BARBARA,9.02,0.15,185.09578,191.42513,144.75448,15.355074,0.2432971,2.387625,48800
235 CAROLINA,8.82,0.15,207.82941,207.06939,66.475568,9.040544,0.0626607,2.8807967,48800
236 HONORIA,8.18,-0.02,243.0736,174.41198,186.2417,7.690371,0.1904679,2.7978053,48800
237 COELESTINA,9.24,0.15,165.1026,198.61009,84.590236,9.755821,0.0740164,2.7612458,48800
238 HYPATIA,8.18,0.15,221.43925,209.52781,184.27975,12.402534,0.0912126,2.9050109,48800
239 ADRASTEA,10.3,0.15,343.09809,207.84392,181.29028,6.166412,0.2339518,2.9685835,48800
240 VANADIS,9,0.15,226.62624,300.45187,115.28578,2.103695,0.2081981,2.6628429,48800
241 GERMANIA,7.58,0.15,97.866806,73.477049,271.3237,5.50709,0.1017189,3.0481716,48800
242 KRIEMHILD,9.7,0.15,1.338204,278.45064,207.50493,11.318817,0.1212347,2.8623714,48800
243 IDA,9.94,0.15,45.947226,111.64989,324.72858,1.140943,0.0420852,2.8615643,48800
244 SITA,12.2,0.15,221.4562,165.94651,209.21623,2.840695,0.1376138,2.1741769,48800
245 VERA,7.82,0.15,331.15935,327.35587,61.741999,5.189512,0.206353,3.0885893,48800
246 ASPORINA,8.62,0.15,11.676725,96.716777,162.60727,15.634279,0.1062359,2.694845,48800
247 EUKRATE,8.04,0.15,325.4856,54.365034,0.537097,25.021111,0.2438578,2.7410264,48800
248 LAMEIA,10.21,0.15,191.58795,10.469766,247.29986,4.040107,0.0641954,2.4708385,48800
249 ILSE,11.33,0.15,19.455352,41.167807,335.06506,9.654445,0.2170147,2.3772214,48800
250 BETTINA,7.58,0.15,311.6548,70.662193,24.652048,12.888273,0.1217104,3.1528811,48800
251 SOPHIA,10,0.15,141.42122,289.794,156.4999,10.528604,0.1073011,3.0899473,48800
252 CLEMENTINA,9.1,0.15,25.148215,155.79825,202.59623,10.071461,0.0822043,3.154808,48800
253 MATHILDE,10.2,0.15,316.99224,156.46419,179.91637,6.707604,0.2659114,2.6456575,48800
254 AUGUSTA,12.13,0.15,193.63212,233.03306,28.681317,4.516291,0.121999,2.1944066,48800
255 OPPAVIA,10.39,0.15,157.60598,153.3883,14.013386,9.479917,0.0772164,2.7467844,48800
256 WALPURGA,9.8,0.15,116.04076,52.606969,183.30652,13.302944,0.0670951,3.0007976,48800
257 SILESIA,9.47,0.15,255.9129,25.954204,35.088628,3.648923,0.125905,3.1120821,48800
258 TYCHE,8.5,0.23,267.64643,154.42158,207.95826,14.264895,0.2043617,2.6145131,48800
259 ALETHEIA,7.76,0.15,26.638738,165.66318,87.715844,10.76649,0.111924,3.1469498,48800
260 HUBERTA,8.97,0.15,198.86472,174.53731,165.95819,6.443834,0.124483,3.4502698,48800
261 PRYMNO,9.44,0.19,120.00352,65.499887,96.828866,3.634131,0.0900134,2.3313568,48800
262 VALDA,11.67,0.15,302.97667,23.72647,38.866635,7.729075,0.2140424,2.5527526,48800
263 DRESDA,10.4,0.15,210.46504,161.67675,216.83399,1.30803,0.0790726,2.8853649,48800
264 LIBUSSA,8.42,0.15,202.49896,340.33796,49.902949,10.431014,0.1368437,2.7968553,48800
265 ANNA,11.2,0.15,300.55728,252.03123,335.70225,25.62833,0.2670227,2.4209348,48800
